,Source,Target,link_wights
0,14856,1,0.48733775384002503
1,26692,1,0.152012174004117
2,41217,5,0.011254962137860001
3,8260,5,0.15093690635530002
4,45454,5,0.101413983537705
5,17561,5,0.291740967609325
6,52393,5,0.003867027099596
7,9393,5,0.048994653080822
8,8508,5,0.055666837693753
9,42779,8,0.002206125371452
10,39237,8,0.140038063318166
11,50032,8,0.06430381997145
12,39292,8,0.003476946868908
13,35469,8,0.064840528450206
14,26008,8,0.0009448281250360001
15,22699,8,0.000662249171134
16,2802,8,0.048334042473447004
17,16294,10,0.579474655428415
18,23463,16,0.36060888846703004
19,15885,18,0.22437574480542202
20,33354,18,0.269776029053911
21,41548,18,0.22156451807132002
22,17012,18,0.320201542186133
23,30930,18,0.27177317748150404
24,29928,18,0.20280430664579602
25,42779,18,0.356826577737045
26,4401,18,0.20196418564731403
27,344,18,0.3048503238233
28,32161,18,0.260170294562974
29,25016,18,0.088183471531945
30,10681,18,0.21648942770280502
31,4350,22,0.71129035687049
32,19764,31,0.983787347173503
33,19241,33,0.28256684326243303
34,39725,33,0.0
35,2360,33,0.09270544243333001
36,6983,33,0.18309501360809902
37,32635,33,0.224421665762667
38,2202,33,0.130937687641213
39,57251,33,0.143909172035652
40,39095,33,0.17570013324552802
41,42749,33,-2.8738910646357773e-19
42,21780,40,0.319910002212524
43,35904,41,0.5008278729475141
44,41903,41,0.50115931514417
45,35779,47,0.07921524546104301
46,6446,51,0.029512079290698004
47,27972,51,0.045353514125281005
48,53834,51,0.007271281937885001
49,18255,51,5.6042894630868664e-05
50,41315,51,0.075354939428437
51,48004,51,0.045456992411479005
52,10379,51,0.014219218709557
53,663,51,0.039048106051563
54,12198,51,0.060935296139587
55,28328,51,0.029023419968348
56,1980,51,0.110754779250816
57,43253,51,0.027759722306952003
58,58033,54,0.6948347287236271
59,59680,70,0.027500399348201
60,165,70,0.045972688400466005
61,20408,70,0.096576994665066
62,29648,70,0.111992652917015
63,33998,71,0.26709096068152804
64,664,71,0.279729752398425
65,34657,71,0.28444851941368104
66,48866,71,0.27486089365762
67,28773,71,0.269491622914703
68,28514,77,0.48393889655242706
69,53190,77,0.49590388682319103
70,7797,91,0.23601561398679702
71,9927,97,0.5925066762546021
72,48491,97,0.036754789470352
73,51256,101,0.622007952102515
74,56380,101,0.15942686374009002
75,21316,101,0.14530856861599
76,13486,102,0.49938340949417304
77,1817,113,0.17518585356951002
78,44073,113,0.291138158388633
79,32045,113,0.6184330823891611
80,49621,113,0.289354525436122
81,1642,113,0.235951546263258
82,2542,114,0.095488954156889
83,29863,119,0.41283687946540404
84,5869,119,0.39737784789336406
85,21399,132,0.25869027206579603
86,4387,132,0.016586075068425
87,15653,132,0.539732835681578
