Name,Date,Artist,ChannelId,Song,VideoId,Note
Academy Awards,2020/2/9,Adam Driver,295607,,,Nominee - Best Performance by an Actor in a Leading Role
Academy Awards,2019/2/25,Adam Driver,295607,,,Nominee - Best Performance by an Actor in a Supporting Role
Golden Globes,2020/1/6,Adam Driver,295607,,,Nominee - Best Performance by an Actor in a Motion Picture - Drama
Golden Globes,2019/1/7,Adam Driver,295607,,,Nominee - Best Performance by an Actor in a Supporting Role in a Motion Picture
AACTA International Awards,2020/1/6,Adam Driver,295607,,,Winner - Best Lead Actor
Gotham Awards,2019/12/3,Adam Driver,295607,,,Winner - Best Actor
Gotham Awards,2018/10/18,Adam Driver,295607,,,Nominee - Best Actor
MTV Movie Award,2016/4/10,Adam Driver,295607,,,Winner - Best Villain
MTV Movie Award,2018/6/19,Adam Driver,295607,,,Nominee - Best Villain
